CABLE NO.,ORIGINATION POINT,TERMINATION POINT,CABLE TYPE,"COLOR
?",WIRE 1,WIRE 2,WIRE 3,WIRE 4,WIRE 5,WIRE 6,WIRE 7,WIRE 8,WIRE 9,WIRE 10,CONDUIT SIZE,QTY,"REMARKS
??",Notes
VCON4-C2,TB-V2,CONECTOR BOX 4,KDF-SBL 2 sq -2 C,-,"(BK)
V-2-CN2-8","(W)
V-2-CN2-10","(SHILDE)
FG",,,,,,,,KMS-22,,"?
7.8",ME?????
VCON4-C3,TB-V2,CONECTOR BOX 4,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
VCON5-C1,TB-V2,CONECTOR BOX 5,KDF-SBL 0.75 sq -4 C,-,"(BK)
P24A","(W)
N24","(R)
HV11+","(G)
HV12-","(SH)
G",,,,,,,,"?
7",ME?????
VCON5-C2,TB-V2,CONECTOR BOX 5,KDF-SBL 0.75 sq -4 C,-,"(BK)
P24A","(W)
N24","(R)
HV21+","(G)
HV22-","(SH)
G",,,,,,KMS-28,,"?
7",ME?????
VCON5-C3,TB-V2,CONECTOR BOX 5,KDF-SBL 0.75 sq -4 C,-,"(BK)
P24A","(W)
N24","(R)
HV31+","(G)
HV32-","(SH)
G",,,,,,,,"?
7",ME?????
VOP-C1,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,MTW 16 AWG ×50 W,BU,24P1,P1,Z1,24P11,24Z11,A03,A04,A16,201,202,,,"?
3.3",(G)
VOP-C1,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,MTW 16 AWG ×50 W,BU,203,204,207,208,211,212,213,214,215,300,,,,
VOP-C1,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,MTW 16 AWG ×50 W,BU,301,304,307,308,309,400,401,402,511,1,,,,
VOP-C1,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,MTW 16 AWG ×50 W,BU,2,6,31,32,44,908,909,910,PW,"SP-
VOP-1",,,,
VOP-C1,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
VOP-C2,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,KVC-36SBT 0.5 sq - 6 C,-,SDA,SDB,RDA,RDB,SG,CUT,FG,,,,,,"?
7.7",ME?????
VOP-C3,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,KDF-SBL 0.75 sq - 4 C,-,PS-D1,PS-D2,PS-D3,CUT,PS-DFG,,,,,,,,"?
7",ME?????
VOP-C4,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,KDF-SBL 0.75 sq - 4 C,-,PS-C1,PS-C2,PS-C3,CUT,PS-CFG,,,,,,,,"?
7",ME?????
VOP-C5,SENSOR VACUUM UNIT PANEL,SENSOR VACUUM UNIT OPERATION PANEL,KDF-SBL 0.75 sq - 4 C,-,PS-E1,PS-E2,PS-E3,CUT,PS-EFG,,,,,,,,"?
7",ME?????
VHU-C1,SENSOR VACUUM UNIT PANEL,HYD.UNIT (VACUUM ),MTW 16 AWG ×12 W,BU,P1,Z1,313,314,315,"SP-
VHU-1",24P2,0813A,0814A,"SP-
VHU-2",,,"?
3.3",(H)
VHU-C1,SENSOR VACUUM UNIT PANEL,HYD.UNIT (VACUUM ),MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
