Item,Item Description,Item Status,Quantity,Subinventory,UOM,Cost,Organization
DCCW6906-P2-NEW,CRATE 10.....ECI-000...SPRUE BUSH ROTATOR STOP BLOCK,Inactive,0,,,85,AAC KOKI
DCCW6917-000-NEW,OBSOLETE.....STATIONARY POWER COOL,Inactive,0,,,333,AAC KOKI
DCCW6917A-000-NEW,OBSOLETE.....STATIONARY POWER COOL WP1,Inactive,0,,,144,AAC KOKI
DCCW6917A-P2-NEW,RETIRED.....ECI-000...STATIONARY POWER COOL WP1,Inactive,0,,,144,AAC KOKI
DCCW6917B-000-NEW,OBSOLETE.....STATIONARY POWER COOL WP2,Inactive,0,,,162.1,AAC KOKI
DCCW6917B-P2-NEW,RETIRED.....ECI-000...STATIONARY POWER COOL WP2,Inactive,0,,,144,AAC KOKI
DCCW6918-000-NEW,OBSOLETE.....SLIDE POWER COOL,Inactive,0,,,333,AAC KOKI
DCCW6918A-000-NEW,OBSOLETE.....SLIDE POWER COOL C2WP1,Inactive,0,,,144,AAC KOKI
DCCW6918A-P2-NEW,RETIRED.....ECI-000...SLIDE POWER COOL C2WP1,Inactive,0,,,144,AAC KOKI
DCCW6918B-000-NEW,OBSOLETE.....SLIDE POWER COOL C2WP2,Inactive,0,,,144,AAC KOKI
DCCW6918B-P2-NEW,RETIRED.....ECI-000...SLIDE POWER COOL C2WP2,Inactive,0,,,144,AAC KOKI
DCCW6918C-000-NEW,OBSOLETE.....SLIDE POWER COOL C2WP3,Inactive,0,,,144,AAC KOKI
DCCW6918C-P2-NEW,RETIRED.....ECI-000...SLIDE POWER COOL C2WP3,Inactive,0,,,144,AAC KOKI
DCCW6918D-000-NEW,OBSOLETE.....SLIDE POWER COOL C3WP1,Inactive,0,,,162.1,AAC KOKI
DCCW6918D-P2-NEW,CRATE 10.....ECI-000...SLIDE POWER COOL C3WP1,Inactive,0,,,144,AAC KOKI
DCCW6918E-000-NEW,OBSOLETE.....SLIDE POWER COOL C3WP2,Inactive,0,,,162.1,AAC KOKI
DCCW6918E-P2-NEW,RETIRED.....ECI-000...SLIDE POWER COOL C3WP2,Inactive,0,,,144,AAC KOKI
DCCW6919-000-NEW,OBSOLETE.....POWER COOL MANIFOLD FILTER,Inactive,0,,,96.53,AAC KOKI
DCCW6919-P2-NEW,CRATE 10.....ECI-000...POWER COOL MANIFOLD FILTER,Inactive,0,,,96.53,AAC KOKI
DCCW6943-000-NEW,OBSOLETE........SPRUE CORE COOLING PLUG,Inactive,0,,,219,AAC KOKI
DCCW6943-A10-NEW,OBSOLETE.....SPRUE CORE COOLING PLUG,Inactive,0,,,215.72,AAC KOKI
DCCW6943-P2-NEW,CRATE 10.....ECI-A24...SPRUE CORE COOLING PLUG,Inactive,0,,,430.5,AAC KOKI
DCCW6944-000-NEW,OBSOLETE.....C1 SLIDE COOLING PLUG A,Inactive,0,,,129,AAC KOKI
DCCW6944-P2-NEW,CRATE 10.....ECI-000...C1 SLIDE COOLING PLUG A,OBSOLETE,0,,,127.07,AAC KOKI
DCCW6945-000-NEW,OBSOLETE.....C1 SLIDE COOLING PLUG B,Inactive,0,,,125,AAC KOKI
DCCW6945-P2-NEW,CRATE 10.....ECI-000...C1 SLIDE COOLING PLUG B,OBSOLETE,0,,,125,AAC KOKI
DCCW6946-000-NEW,OBSOLETE.....C2 SLIDE COOLING PLUG,Inactive,0,,,95,AAC KOKI
DCCW6946A-000-NEW,OBSOLETE.....C2 SLIDE COOLING PLUG 1,Inactive,0,,,93.58,AAC KOKI
DCCW6946A-P2-NEW,CRATE 10.....ECI-000...C2 SLIDE COOLING PLUG 1,OBSOLETE,0,,,93.58,AAC KOKI
DCCW6946B-000-NEW,OBSOLETE.....C2 SLIDE COOLING PLUG 2,Inactive,0,,,93.58,AAC KOKI
DCCW6946B-P2-NEW,CRATE 10.....ECI-000...C2 SLIDE COOLING PLUG 2,OBSOLETE,0,,,93.58,AAC KOKI
DCCW6947-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG A,Inactive,0,,,189,AAC KOKI
DCCW6947-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG A,OBSOLETE,0,,,186.17,AAC KOKI
DCCW6948-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG B,Inactive,0,,,105,AAC KOKI
DCCW6948A-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG C3W1-1,Inactive,0,,,103.43,AAC KOKI
DCCW6948A-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG C3W1-1,OBSOLETE,0,,,103.43,AAC KOKI
DCCW6948B-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG C3W1-3,Inactive,0,,,103.43,AAC KOKI
DCCW6948B-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG C3W1-3,OBSOLETE,0,,,103.43,AAC KOKI
DCCW6948C-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG C3W2-1,Inactive,0,,,103.43,AAC KOKI
DCCW6948C-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG C3W2-1,OBSOLETE,0,,,103.43,AAC KOKI
DCCW6948D-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG C3W2-3,Inactive,0,,,103.43,AAC KOKI
DCCW6948D-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG C3W2-3,OBSOLETE,0,,,105,AAC KOKI
DCCW6948E-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG C3W4-1,Inactive,0,,,103.43,AAC KOKI
DCCW6948E-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG C3W4-1,OBSOLETE,0,,,103.43,AAC KOKI
DCCW6949-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG C,Inactive,0,,,165,AAC KOKI
DCCW6949A-000-NEW,OBSOLETE(NP).....C3 SLIDE COOLING PLUG C3W1-2,Inactive,0,,,125,AAC KOKI
DCCW6949A-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG C3W1-2,OBSOLETE,0,,,215,AAC KOKI
DCCW6949B-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG C3W2-2,Inactive,0,,,162.53,AAC KOKI
DCCW6949B-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG C3W2-2,OBSOLETE,0,,,162.53,AAC KOKI
DCCW6950-000-NEW,OBSOLETE.....C3 SLIDE COOLING PLUG D,Inactive,0,,,210,AAC KOKI
DCCW6950-P2-NEW,CRATE 10.....ECI-000...C3 SLIDE COOLING PLUG D,OBSOLETE,0,,,206.85,AAC KOKI
DCCW6951-000-NEW,OBSOLETE.....C4 SLIDE COOLING PLUG A,Inactive,0,,,169,AAC KOKI
DCCW6951A-000-NEW,OBSOLETE.....C4 SLIDE COOLING PLUG C4W1-2,Inactive,0,,,166.47,AAC KOKI
DCCW6951A-P2-NEW,CRATE 10.....ECI-000...C4 SLIDE COOLING PLUG C4W1-2,OBSOLETE,0,,,166.47,AAC KOKI
DCCW6951B-000-NEW,OBSOLETE.....,Inactive,0,,,166.47,AAC KOKI
DCCW6951B-P2-NEW,CRATE 10.....ECI-000...C4 SLIDE COOLING PLUG C4W2-2,OBSOLETE,0,,,166.47,AAC KOKI
DCCW6951C-000-NEW,OBSOLETE.....C4 SLIDE COOLING PLUG C4W2-3,Inactive,0,,,166.47,AAC KOKI
DCCW6951C-P2-NEW,CRATE 10.....ECI-000...C4 SLIDE COOLING PLUG C4W2-3,OBSOLETE,0,,,166.47,AAC KOKI
DCCW6952-000-NEW,OBSOLETE.....C4 SLIDE COOLING PLUG B,Inactive,0,,,169,AAC KOKI
DCCW6952A-000-NEW,OBSOLETE.....C4 SLIDE COOLING PLUG C4W1-3,Inactive,0,,,166.47,AAC KOKI
DCCW6952A-P2-NEW,CRATE 10.....ECI-000...C4 SLIDE COOLING PLUG C4W1-3,OBSOLETE,0,,,166.47,AAC KOKI
DCCW6952B-000-NEW,OBSOLETE.....C4 SLIDE COOLING PLUG C4W1-4,Inactive,0,,,166.47,AAC KOKI
DCCW6952B-P2-NEW,CRATE 10.....ECI-000...C4 SLIDE COOLING PLUG C4W1-4,OBSOLETE,0,,,166.47,AAC KOKI
DCCX6302-000-NEW,OBSOLETE.....MOVABLE INSERT CORE A,Inactive,0,,,2039,AAC KOKI
DCCX6302-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE A,Inactive,0,,,1795,AAC KOKI
DCCX6303-000-NEW,OBSOLETE.....MOVABLE INSERT CORE B,Inactive,0,,,1348,AAC KOKI
DCCX6303-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE B,Inactive,0,,,1465,AAC KOKI
DCCX6304-000-NEW,OBSOLETE(NP).....MOVABLE INSERT CORE C,Inactive,0,,,768,AAC KOKI
DCCX6304-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE C,Inactive,0,,,768,AAC KOKI
DCCX6305-000-NEW,OBSOLETE(NP).....MOVABLE INSERT CORE D,Inactive,0,,,868,AAC KOKI
DCCX6305-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE D,Inactive,0,,,868,AAC KOKI
DCCX6306-000-NEW,OBSOLETE.....MOVABLE INSERT CORE E,Inactive,0,,,1149,AAC KOKI
DCCX6306-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE E,Inactive,0,,,1065,AAC KOKI
DCCX6307-000-NEW,OBSOLETE.....MOVABLE INSERT CORE F,Inactive,0,,,1768,AAC KOKI
DCCX6307-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE F,Inactive,0,,,1768,AAC KOKI
DCCX6308-000-NEW,OBSOLETE.....MOVABLE INSERT CORE G,Inactive,0,,,2295,AAC KOKI
DCCX6308-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE G,Inactive,0,,,2250,AAC KOKI
DCCX6309-000-NEW,OBSOLETE.....MOVABLE INSERT CORE H,Inactive,0,,,1968,AAC KOKI
DCCX6309-P2-NEW,CRATE 14.....ECI-000...MOVABLE INSERT CORE H,Inactive,0,,,2030,AAC KOKI
DCCX6352-000-NEW,OBSOLETE(NP).....STATIONARY  INSERT CORE A,Inactive,0,,,1041,AAC KOKI
DCCX6352-P2-NEW,CRATE 14.....ECI-000...STATIONARY  INSERT CORE A,Inactive,0,,,1675,AAC KOKI
DCCX6353-000-NEW,OBSOLETE.....STATIONARY  INSERT CORE B,Inactive,0,,,2098,AAC KOKI
DCCX6353-P2-NEW,CRATE 14.....ECI-000...STATIONARY  INSERT CORE B,Inactive,0,,,1675,AAC KOKI
DCCX6354-000-NEW,OBSOLETE.....STATIONARY  INSERT CORE C,Inactive,0,,,156,AAC KOKI
DCCX6354-P2-NEW,CRATE 14.....ECI-000...STATIONARY  INSERT CORE C,Inactive,0,,,156,AAC KOKI
DCCX6417-000-NEW,OBSOLETE.....C2 SLIDE RAIL,Inactive,0,,,367,AAC KOKI
DCCX6417-P2-NEW,CRATE 14.....ECI-000...C2 SLIDE RAIL,Inactive,0,,,367,AAC KOKI
DCCX6418-000-NEW,OBSOLETE.....C3 SLIDE RAIL,Inactive,0,,,417,AAC KOKI
DCCX6418-P2-NEW,CRATE 14.....ECI-000...C3 SLIDE RAIL,Inactive,0,,,417,AAC KOKI
DCCX6419-000-NEW,OBSOLETE.....C4 SLIDE RAIL,Inactive,0,,,385,AAC KOKI
DCCX6419-P2-NEW,CRATE 14.....ECI-000...C4 SLIDE RAIL,Inactive,0,,,385,AAC KOKI
DCCX6420-000-NEW,OBSOLETE.....C1 SLIDE LOWER PLATE,Inactive,0,,,179,AAC KOKI
DCCX6420-P2-NEW,CRATE 14.....ECI-000...C1 SLIDE LOWER PLATE,Inactive,0,,,179,AAC KOKI
DCCX6421-000-NEW,OBSOLETE.....C2 SLIDE LOWER PLATE,Inactive,0,,,337,AAC KOKI
DCCX6421-P2-NEW,CRATE 14.....ECI-000...C2 SLIDE LOWER PLATE,Inactive,0,,,337,AAC KOKI
DCCX6422-000-NEW,OBSOLETE.....C3 SLIDE LOWER PLATE A,Inactive,0,,,237,AAC KOKI
DCCX6422-P2-NEW,CRATE 14..ECI-000...C3 SLIDE LOWER PLATE A,Inactive,0,,,237,AAC KOKI
DCCX6423-000-NEW,OBSOLETE.....C3 SLIDE LOWER PLATE B,Inactive,0,,,339,AAC KOKI
DCCX6423-P2-NEW,CRATE 14.....ECI-000...C3 SLIDE LOWER PLATE B,Inactive,0,,,339,AAC KOKI
DCCX6424-000-NEW,OBSOLETE.....C4 SLIDE LOWER PLATE,Inactive,0,,,325,AAC KOKI
DCCX6424-P2-NEW,CRATE 14.....ECI-000...C4 SLIDE LOWER PLATE,Inactive,0,,,325,AAC KOKI
DCCX6425-000-NEW,OBSOLETE.....C4 SLIDE CENTER KEY,Inactive,0,,,160,AAC KOKI
DCCX6425-P2-NEW,CRATE 14.....ECI-000...C4 SLIDE CENTER KEY,Inactive,0,,,160,AAC KOKI
DCCX6434-000-NEW,OBSOLETE.....C1 SLIDE STOPPER,Inactive,0,,,881,AAC KOKI
DCCX6434-P2-NEW,CRATE 14.....ECI-000...C1 SLIDE STOPPER,Inactive,0,,,881,AAC KOKI
DCCX6435-000-NEW,OBSOLETE.....C2 SLIDE STOPPER,Inactive,0,,,297,AAC KOKI
DCCX6435-P2-NEW,CRATE 14.....ECI-000...C2 SLIDE STOPPER,Inactive,0,,,297,AAC KOKI
DCCX6436-000-NEW,OBSOLETE.....C3 SLIDE STOPPER,Inactive,0,,,621,AAC KOKI
DCCX6436-P2-NEW,CRATE 14.....ECI-000...C3 SLIDE STOPPER,Inactive,0,,,621,AAC KOKI
DCCX6437-000-NEW,OBSOLETE.....C4 SLIDE STOPPER,Inactive,0,,,660,AAC KOKI
DCCX6437-P2-NEW,CRATE 14.....ECI-000...C4 SLIDE STOPPER,Inactive,0,,,660,AAC KOKI
DCCX6438-000-NEW,OBSOLETE(NP).....C1~C4 SLIDE LOCATION KEY,Inactive,0,,,37.5,AAC KOKI
DCCX6438-P2-NEW,CRATE 14.....ECI-000...C1~C4 SLIDE LOCATION KEY,Inactive,0,,,37.5,AAC KOKI
DCCX6439-000-NEW,OBSOLETE(NP).....C1 SLIDE GUIDE PIN,Inactive,0,,,439,AAC KOKI
DCCX6439-P2-NEW,CRATE 14.....ECI-000...C1 SLIDE GUIDE PIN,Inactive,0,,,238.22,AAC KOKI
DCCX6440-000-NEW,OBSOLETE.....C1 SLIDE GUIDE PIN BUSHING A,Inactive,0,,,78,AAC KOKI
DCCX6440-P2-NEW,CRATE 14.....ECI-000...C1 SLIDE GUIDE PIN BUSHING A,Inactive,0,,,78,AAC KOKI
DCCX6441-000-NEW,OBSOLETE.....C1 SLIDE GUIDE PIN BUSHING B,Inactive,0,,,75,AAC KOKI
DCCX6441-P2-NEW,CRATE 14.....ECI-000...C1 SLIDE GUIDE PIN BUSHING B,Inactive,0,,,75,AAC KOKI
DCCX6501-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD1,Inactive,0,,,46,AAC KOKI
DCCX6501-P2-NEW,CRATE 14.....ECI-A16...MOVABLE CORE PIN AD1,Inactive,0,,,46,AAC KOKI
DCCX6502-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD2,Inactive,0,,,46,AAC KOKI
DCCX6502-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD2,Inactive,0,,,46,AAC KOKI
DCCX6503-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD3-1~3-8,Inactive,0,,,48,AAC KOKI
DCCX6503-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD3-1~3-8,Inactive,0,,,48,AAC KOKI
DCCX6504-000-NEW,"OBSOLETE.....MOVABLE CORE PIN AD4-1,4-2",Inactive,0,,,68,AAC KOKI
DCCX6504-P2-NEW,"CRATE 14.....ECI-000...MOVABLE CORE PIN AD4-1,4-2",Inactive,0,,,68,AAC KOKI
DCCX6505-000-NEW,"OBSOLETE.....MOVABLE CORE PIN AD5-1,5-2",Inactive,0,,,39,AAC KOKI
DCCX6505-P2-NEW,"CRATE 14.....ECI-000...MOVABLE CORE PIN AD5-1,5-2",Inactive,0,,,39,AAC KOKI
DCCX6506-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD6,Inactive,0,,,53,AAC KOKI
DCCX6506-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD6,Inactive,0,,,53,AAC KOKI
DCCX6507-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD7,Inactive,0,,,47,AAC KOKI
DCCX6507-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD7,Inactive,0,,,47,AAC KOKI
DCCX6508-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD8,Inactive,0,,,59,AAC KOKI
DCCX6508-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD8,Inactive,0,,,59,AAC KOKI
DCCX6509-000-NEW,"OBSOLETE.....MOVABLE CORE PIN AD9-1,9-2",Inactive,0,,,36,AAC KOKI
DCCX6509-P2-NEW,"CRATE 14.....ECI-000...MOVABLE CORE PIN AD9-1,9-2",Inactive,0,,,36,AAC KOKI
DCCX6510-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD10-1~10-3,Inactive,0,,,149,AAC KOKI
DCCX6510-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD10-1~10-3,Inactive,0,,,97.19,AAC KOKI
DCCX6511-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD11,Inactive,0,,,144,AAC KOKI
DCCX6511-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD11,Inactive,0,,,94.57,AAC KOKI
DCCX6512-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD12,Inactive,0,,,144,AAC KOKI
DCCX6512-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD12,Inactive,0,,,99.55,AAC KOKI
DCCX6513-000-NEW,OBSOLETE.....MOVABLE CORE PIN AD13,Inactive,0,,,149,AAC KOKI
DCCX6513-P2-NEW,CRATE 14.....ECI-000...MOVABLE CORE PIN AD13,Inactive,0,,,103.95,AAC KOKI
DCCX6514-000-NEW,"OBSOLETE.....MOVABLE CORE PIN AD14-1,14-2",Inactive,0,,,46,AAC KOKI
DCCX6514-P2-NEW,"CRATE 14.....ECI-000...MOVABLE CORE PIN AD14-1,14-2",Inactive,0,,,46,AAC KOKI
DCCX6515-000-NEW,OBSOLETE.....STATIONARY CORE PIN BD1-1~1-4,Inactive,0,,,36,AAC KOKI
DCCX6515-P2-NEW,CRATE 14.....ECI-000...STATIONARY CORE PIN BD1-1~1-4,Inactive,0,,,36,AAC KOKI
DCCX6516-000-NEW,OBSOLETE.....STATIONARY CORE PIN BD2-1~2-5,Inactive,0,,,36,AAC KOKI
DCCX6516-P2-NEW,CRATE 14.....ECI-D3...STATIONARY CORE PIN BD2-1~2-5,Inactive,0,,,36,AAC KOKI
DCCX6517-000-NEW,"OBSOLETE.....STATIONARY CORE PIN BD3-1,3-2",Inactive,0,,,38,AAC KOKI
DCCX6517-P2-NEW,"CRATE 14.....ECI-D3...STATIONARY CORE PIN BD3-1,3-2",Inactive,0,,,38,AAC KOKI
DCCX6518-000-NEW,OBSOLETE.....STATIONARY CORE PIN BD4,Inactive,0,,,33,AAC KOKI
DCCX6518-P2-NEW,CRATE 14.....ECI-000...STATIONARY CORE PIN BD4,Inactive,0,,,33,AAC KOKI
DCCX6519-000-NEW,OBSOLETE.....C2 SLIDE CORE PIN C2D1,Inactive,0,,,33,AAC KOKI
DCCX6519-P2-NEW,CRATE 14.....ECI-D3...C2 SLIDE CORE PIN C2D1,Inactive,0,,,33,AAC KOKI
DCCX6520-000-NEW,"OBSOLETE.....C2 SLIDE CORE PIN C2D2-1,2-2",Inactive,0,,,33,AAC KOKI
DCCX6520-P2-NEW,"CRATE 14.....ECI-D3...C2 SLIDE CORE PIN C2D2-1,2-2",Inactive,0,,,33,AAC KOKI
DCCX6521-000-NEW,OBSOLETE.....C3 SLIDE CORE PIN C3D1,Inactive,0,,,297.8,AAC KOKI
DCCX6521-P2-NEW,CRATE 14.....ECI-000...C3 SLIDE CORE PIN C3D1,Inactive,0,,,297.8,AAC KOKI
DCCX6522-000-NEW,OBSOLETE.....C3 SLIDE CORE PIN C3D2,Inactive,0,,,199,AAC KOKI
DCCX6522-P2-NEW,CRATE 14.....ECI-000...C3 SLIDE CORE PIN C3D2,Inactive,0,,,118.25,AAC KOKI
DCCX6523-000-NEW,OBSOLETE.....C3 SLIDE CORE PIN C3D3,Inactive,0,,,229,AAC KOKI
DCCX6523-P2-NEW,CRATE 14.....ECI-000...C3 SLIDE CORE PIN C3D3,Inactive,0,,,114.04,AAC KOKI
DCCX6524-000-NEW,OBSOLETE.....C3 SLIDE CORE PIN C3D4,Inactive,0,,,36,AAC KOKI
DCCX6524-P2-NEW,CRATE 14.....ECI-000...C3 SLIDE CORE PIN C3D4,Inactive,0,,,36,AAC KOKI
DCCX6525-000-NEW,OBSOLETE.....C4 SLIDE CORE PIN C4D1,Inactive,0,,,31.5,AAC KOKI
DCCX6525-P2-NEW,CRATE 14.....ECI-000...C4 SLIDE CORE PIN C4D1,Inactive,0,,,31.5,AAC KOKI
DCCX6526-000-NEW,OBSOLETE.....C4 SLIDE CORE PIN C4D2,Inactive,0,,,144,AAC KOKI
DCCX6526-P2-NEW,CRATE 14.....ECI-D3...C4 SLIDE CORE PIN C4D2,Inactive,0,,,144,AAC KOKI
DCCX6527-000-NEW,OBSOLETE.....C4 SLIDE CORE PIN C4D3,Inactive,0,,,144,AAC KOKI
DCCX6527-P2-NEW,CRATE 14.....ECI-D3...C4 SLIDE CORE PIN C4D3,Inactive,0,,,82.03,AAC KOKI
DCCX6528-000-NEW,OBSOLETE.....C4 SLIDE CORE PIN C4D4,Inactive,0,,,144,AAC KOKI
DCCX6528-P2-NEW,CRATE 14.....ECI-D3...C4 SLIDE CORE PIN C4D4,Inactive,0,,,144,AAC KOKI
DCCX6710-000-NEW,OBSOLETE.....EJECTOR SLEEVE PIN E16,Inactive,0,,,119,AAC KOKI
DCCX6710-P2-NEW,CRATE 14.....ECI-000...EJECTOR SLEEVE PIN E16,Inactive,0,,,85.69,AAC KOKI
DCCX6801-000-NEW,OBSOLETE.....MOVABLE VALVE LOCK (J-C-MVB-001),Inactive,0,,,740,AAC KOKI
DCCX6801-P2-NEW,CRATE 14.....PLEASE MAKE ITEM INACTIVE WHEN INVENTORY IS DEPLETED MJ 3/10/20142K178K.....ECI-000...MOVABLE VALVE LOCK (J-C-MVB-001),Inactive,0,,,740,AAC KOKI
DCCX6802-000-NEW,OBSOLETE.....MOV. VACUUM VALVE INSERT (J-C-MVI-002-A),Inactive,0,,,1561,AAC KOKI
DCCX6802-P2-NEW,CRATE 14.....ECI-000...MOV. VACUUM VALVE INSERT (J-C-MVI-002-A),Inactive,0,,,1485,AAC KOKI
DCCX6803-000-NEW,OBSOLETE.....MOVABLE VALVE (J-C-MV-002),Inactive,0,,,239,AAC KOKI
DCCX6804-000-NEW,OBSOLETE.....MOV. VACUUM VALVE SLEEVE (J-H-SVS-001),Inactive,0,,,260,AAC KOKI
DCCX6804-P2-NEW,CRATE 14.....ECI-000...MOV. VACUUM VALVE SLEEVE (J-H-SVS-001),Inactive,0,,,419,AAC KOKI
DCCX6805-000-NEW,OBSOLETE.....MOVABLE VALVE JOINT (J-H-MHJ-001-L),Inactive,0,,,259,AAC KOKI
DCCX6805-P2-NEW,CRATE 14.....ECI-A12...MOVABLE VALVE JOINT (J-H-MHJ-001-L) (ECI-A12),Inactive,0,,,259,AAC KOKI
DCCX6806-000-NEW,OBSOLETE(NP).....VACUUM CYLINDER COUPLING (J-H-SCR-001),Inactive,0,,,287.5,AAC KOKI
DCCX6806-P2-NEW,CRATE 14.....ECI-000...VACUUM CYLINDER COUPLING (J-H-SCR-001),Inactive,0,,,290,AAC KOKI
DCCX6807-000-NEW,OBSOLETE.....VALVE JOINT COUPLING HOLDING BLOCK        (J-H-VCOB-001),Inactive,0,,,295,AAC KOKI
DCCX6807-P2-NEW,CRATE 14.....ECI-000...VALVE JOINT COUPLING HOLDING BLOCK        (J-H-VCOB-001),Inactive,0,,,295,AAC KOKI
DCCX6808-000-NEW,OBSOLETE.....VACUUM CYLINDER ROD RECEIVER                  (J-H-VRU-001),Inactive,0,,,200,AAC KOKI
DCCX6808-P2-NEW,CRATE 14.....ECI-000...VACUUM CYLINDER ROD RECEIVER                  (J-H-VRU-001),Inactive,0,,,200,AAC KOKI
DCCX6809-000-NEW,OBSOLETE.....VACUUM CYLINDER GUIDE KEY A,Inactive,0,,,210,AAC KOKI
DCCX6809-P2-NEW,CRATE 14.....ECI-000...VACUUM CYLINDER GUIDE KEY A,Inactive,0,,,210,AAC KOKI
DCCX6810-000-NEW,OBSOLETE.....VACUUM CYLINDER GUIDE KEY B,Inactive,0,,,229,AAC KOKI
DCCX6810-P2-NEW,CRATE 14.....ECI-000...VACUUM CYLINDER GUIDE KEY B,Inactive,0,,,229,AAC KOKI
DCCX6811-000-NEW,OBSOLETE.....VACUUM CYLINDER COUPLING HOLDING BLOCK,Inactive,0,,,174,AAC KOKI
DCCX6811-P2-NEW,CRATE 14.....ECI-000...VACUUM CYLINDER COUPLING HOLDING BLOCK,Inactive,0,,,174,AAC KOKI
DCCX6812-000-NEW,OBSOLETE.....STATIONARY VACUUM VALVE INSERT              (J-C-SVI-002),Inactive,0,,,1723,AAC KOKI
DCCX6813-000-NEW,OBSOLETE.....STATIONARY VACUUM VALVE CORE                 (J-C-VNI-002),Inactive,0,,,278,AAC KOKI
DCCX6813-A5-NEW,OBSOLETE.....STATIONARY VACUUM VALVE CORE                 (J-C-VNI-002),Inactive,0,,,278,AAC KOKI
DCCX6813-P2-NEW,CRATE 14.....ECI-A5...STATIONARY VACUUM VALVE CORE                 (J-C-VNI-002),Inactive,0,,,278,AAC KOKI
DCCX6814-000-NEW,OBSOLETE.....STATIONARY PRESSURE REDUCING SENSOR PIN HOLDER,Inactive,0,,,550,AAC KOKI
DCCX6814-A5-NEW,OBSOLETE.....STATIONARY PRESSURE REDUCING SENSOR PIN HOLDER,Inactive,0,,,550,AAC KOKI
DCCX6814-P2-NEW,CRATE 14.....ECI-A5...STATIONARY PRESSURE REDUCING SENSOR PIN HOLDER,Inactive,0,,,550,AAC KOKI
DCCX6815-000-NEW,OBSOLETE.....WIRING RUBBER HOLDING PLATE OF VALVE HOLDER (J-H-VUGO-001),OBSOLETE,0,,,85,AAC KOKI
DCCX6815-A5-NEW,OBSOLETE.....WIRING RUBBER HOLDING PLATE OF VALVE HOLDER (J-H-VUGO-001),Inactive,0,,,85,AAC KOKI
DCCX6815-P2-NEW,CRATE 14.....ECI-A5...WIRING RUBBER HOLDING PLATE OF VALVE HOLDER (J-H-VUGO-001),Inactive,0,,,85,AAC KOKI
DCCX6816-000-NEW,OBSOLETE.....MOVABLE VACUUM VALVE INSERT HOLDING BLOCK,Inactive,0,,,120,AAC KOKI
DCCX6816-P2-NEW,CRATE 14.....ECI-000...MOVABLE VACUUM VALVE INSERT HOLDING BLOCK,Inactive,0,,,120,AAC KOKI
DCCX6901-000-NEW,OBSOLETE.....SPRUE CORE,Inactive,0,,,2380,AAC KOKI
DCCX6901-P2-NEW,CRATE 14.....ECI-000...SPRUE CORE,Inactive,0,,,2380,AAC KOKI
DCCX6902-000-NEW,OBSOLETE.....SPRUE BUSHING,Inactive,0,,,1398,AAC KOKI
DCCX6902-P2-NEW,CRATE 14.....ECI-000...SPRUE BUSHING,Inactive,0,,,1398,AAC KOKI
