Item,Item Description,Item Status,Quantity,Subinventory,UOM,Cost,Organization
DCGR6515-P2-NEW,2D024C-1....ECI-D5....STATIONARY CORE PIN BD5,Inactive,0,,,30.51,AAC KOKI
DCGR6516-P2-NEW,2D024C-2....ECI-D5....STATIONARY CORE PIN BD6,Inactive,0,,,18.6,AAC KOKI
DCGR6518-P2-NEW,2D024C-3......ECI A106....STATIONARY CORE PIN BD8,Inactive,0,,,18.6,AAC KOKI
DCGR6519-P2-NEW,2D024D......ECI A49....MOVABLE SHUTOFF PIN,Inactive,0,,,119.9,AAC KOKI
DCGR6520-P2-NEW,2D024F......ECI-A52....STATIONARY SHUT OFF PIN SHB,Inactive,0,,,72.24,AAC KOKI
DCGR6812-P2-NEW,2D025A.....ECI-D5.....C1 SLIDE GUIDE SHAFT,Inactive,0,,,145,AAC KOKI
DCGR69010-P2-NEW,2D026D......ECI D5....GUIDE PIN,Inactive,0,,,498,AAC KOKI
DCGR69011-P2-NEW,2D026G......ECI D5....GUIDE PIN BUSHING GBHE60-150,Inactive,0,,,116.87,AAC KOKI
DCGR69013-P2-NEW,2D027A...ECI-000....MISUMI HIGH DEFLECTION COIL SPRING  [SWR50-275],Inactive,0,,,19.7,AAC KOKI
DCGR6920-P2-NEW,"2D025B-1......ECI A48....MOVABLE COOLING BUSHING WP15 , 16",Inactive,0,,,208.95,AAC KOKI
DCGR6921-P2-NEW,2D025B-2......ECI A48....MOVABLE COOLING BUSHING WP17,Inactive,0,,,208.95,AAC KOKI
DCGR6922-P2-NEW,2D025B-3......ECI A48....MOVABLE COOLING BUSHING WP1,Inactive,0,,,210,AAC KOKI
DCGR6923-P2-NEW,"2D025B-4......ECI A48....MOVABLE COOLING BUSHING WP4, 7, 13",Inactive,0,,,210,AAC KOKI
DCGR6924-P2-NEW,"2D025B-5......ECI A48....MOVABLE COOLING BUSHING WP2, 3, 5, 6, 8, 10, 11, 12, 14",Inactive,0,,,210,AAC KOKI
DCGR6940-P2-IR,2D025C......ECI A44....SPRUE CORE BUSHING (BODY),Inactive,0,,,#N/A,AAC KOKI
DCGR6940-P2-NEW,2D025C......ECI-A79....SPRUE CORE BUSHING (BODY),Inactive,0,,,829,AAC KOKI
DCGR6941A-P2-NEW,2D025G......SBB 8-20 HEX SOCKET BOLT LOW HEAD PROFILE,Inactive,0,,,2.3,AAC KOKI
DCGR6941D-P2-NEW,2D025H......ECI 000....BACK UP RING,Inactive,0,,,10,AAC KOKI
DCGR6941-P2-IR,2D026A.....ECI-A45...SPRUE CORE BUSHING (RING),Inactive,0,,,#N/A,AAC KOKI
DCGR6941-P2-NEW,2D026A.....ECI-A91...SPRUE CORE BUSHING (RING),Inactive,0,,,1895,AAC KOKI
DCGR69601-P2-NEW,"2D027D......ECI D5....MOVABLE COOLING PIPE 1/8""",Inactive,0,,,60,AAC KOKI
DCGR69602-P2-NEW,"2D027E......ECI D5....MOVABLE COOLING PIPE 1/2""",Inactive,0,,,75,AAC KOKI
DCGR69603-P2-NEW,"2D027F......ECI D5....STATIONARY COOLING PIPE 1/8""",Inactive,0,,,63,AAC KOKI
DCGR69610-P2-NEW,2D027G-1.....ECI-A65.....PC CLAMP,Inactive,0,,,45,AAC KOKI
DCGR69617-P2-NEW,"2D027G-2.....ECI A51....U1,U2 COOLING BUSHING 744CENTER SUPPORT DIE#2 UP",Inactive,0,,,210,AAC KOKI
DCGR69619-P2-NEW,"2D027G-3.....ECI A51....STAT WB12,WB13 COOLING BUSHING 744CENTER SUPPORT DIE#2 UP",Inactive,0,,,208.95,AAC KOKI
DCGR69620-P2-NEW,2D021A-1.....ECI 000....STATIONARY COOLING PIPE 1/4,Inactive,0,,,125,AAC KOKI
DCGR69621-P2-NEW,2D021A-2.....ECI 000....STATIONARY COOLING PIPE 1/4,Inactive,0,,,125,AAC KOKI
DCGR69622-P2-NEW,2D021B-1.....ECI-A51....STATIONARY COOLING PIPE 1/4,Inactive,0,,,124.37,AAC KOKI
DCGR69623-P2-NEW,2D021B-2.....ECI 000....STATIONARY COOLING PIPE 1/4,Inactive,0,,,124.37,AAC KOKI
DCGR69640-P2-NEW,.....ECI 000.....INNER PIPE SLIDE HOLDER C1,Inactive,0,,,35,AAC KOKI
DCGR69642-P2-NEW,2D027C.....ECI-A66.....( IN ) POWER COOL FILTER,Inactive,0,,,71.56,AAC KOKI
DCGR69643-P2-NEW,2D027H-2.....ECI-A78.....STATIONARY COOLING BUSHING,Inactive,0,,,125,AAC KOKI
DCGR69644-P2-NEW,2D027C-2.....ECI-A78..... BUSHING LOCK,Inactive,0,,,44.77,AAC KOKI
DCGR69660-P2-NEW,2D027H.....ECI-A71.....STATIONARY COOLING BUSHING WP12,Inactive,0,,,62.7,AAC KOKI
DCGS6252-P2-NEW,2D032A....ECI-D4...STAT LOCATION BLOCK B (FITS ALL 744 & G300CS DIES),Active,18,STOCK CAGE,EA,68,AAC KOKI
DCGS6301-P2-NEW,......ECI D2....MOVABLE CORE,Active,0,,,8653.41,AAC KOKI
DCGS6302-P2-NEW,2D040H......ECI A98....MOVABLE INSERT CORE,Active,2,STOCK CAGE,EA,7500,AAC KOKI
DCGS6303-P2-NEW,2D032B......ECI-A43....MOVABLE INSERT GATE SPRUE CORE,Active,3,STOCK CAGE,EA,425.29,AAC KOKI
DCGS6310-P2-NEW,2D032C......ECI D2....MOVABLE TV,Active,5,STOCK CAGE,EA,1016.5,AAC KOKI
DCGS6350-P2-NEW,......ECI A37....STATIONARY CORE DIE,Active,0,,,8323.86,AAC KOKI
DCGS6355-P2-NEW,P2 RACK 1-K5......ECI A70....RUNNER PAD-PLATE STAT HOLDING BLOCK A,Active,2,STOCK CAGE,EA,4050,AAC KOKI
DCGS6356-P2-LCL,P2 RACK 1-K6......ECI-A91....RUNNER PAD-PLATE STAT HOLDING BLOCK B,Active,0,,,#N/A,AAC KOKI
DCGS6356-P2-NEW,P2 RACK 1-K6......ECI-A91....RUNNER PAD-PLATE STAT HOLDING BLOCK B,Active,3,STOCK CAGE,EA,4950,AAC KOKI
DCGS6357-P2-LCL,2D039A......ECI 000....RUNNER BLOCK STAT HOLDING BLOCK B,Active,0,,,#N/A,AAC KOKI
DCGS6357-P2-NEW,OBSOLETE......ECI 000....RUNNER BLOCK STAT HOLDING BLOCK B,Active,0,,,2500,AAC KOKI
DCGS6358-P2-NEW,2D032D......ECI-000....STATIONARY SHUT OFF KEY,Active,4,STOCK CAGE,EA,76.24,AAC KOKI
DCGS6359A-P2-NEW,2D039H-1.....ECI-A70.....SPRUE BUSHING PLATE COOLING BUSHING A,Active,3,STOCK CAGE,EA,175,AAC KOKI
DCGS6359B-P2-NEW,2D039H-2.....ECI-A70.....SPRUE BUSHING PLATE COOLING BUSHING B,Active,3,STOCK CAGE,EA,55,AAC KOKI
DCGS6360-P2-NEW,2D032E......ECI D2....STATIONARY TV,Active,5,STOCK CAGE,EA,1026,AAC KOKI
DCGS6371-P2-NEW,2D036E-1.....ECI-000.....STATIONARY LOCATION BLOCK A,Active,7,STOCK CAGE,EA,85.25,AAC KOKI
DCGS6372-P2-NEW,2D036E-2.....ECI-000.....STATIONARY LOCATION BLOCK,Active,0,,,85.25,AAC KOKI
DCGS6390-P2-NEW,2C051A.....ECI-A61.....SAFE-SPIRAL-HOSE PROTECTOR 032C100BK,Active,3,STOCK CAGE,EA,770,AAC KOKI
DCGS6401-P2-LCL,P2 RACK 1-F5......ECI-A90....C1 SLIDE CORE,Active,3,STOCK CAGE,EA,#N/A,AAC KOKI
DCGS6401-P2-NEW,P2 RACK 1-F5......ECI-A90....C1 SLIDE CORE,Active,2,STOCK CAGE,EA,3100,AAC KOKI
DCGS6402-P2-LCL,P2 RACK 1-F6......ECI A90....C2 SLIDE CORE,Active,3,STOCK CAGE,EA,#N/A,AAC KOKI
DCGS6402-P2-NEW,P2 RACK 1-F6......ECI A90....C2 SLIDE CORE,Active,2,STOCK CAGE,EA,3200,AAC KOKI
DCGS6403-P2-LCL,P2 RACK 1-F7......ECI A90....C3 SLIDE CORE,Active,2,STOCK CAGE,EA,#N/A,AAC KOKI
