Order Number,Drawing Number,Equipment,Cable Number,Originating Point,Termination Point,Cable Type,Cable Color,Wire1,Wire2,Wire3,Wire4,Wire5,Wire6,Wire7,Wire8,Wire9,Wire10,Conduit Size,Conduit Qty,Notes
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-RBT-L1,CONTROL PANEL,ROBOT I/F PANEL,ESNCO. 5×2C-99-087B ×1 W,,EXCLUSIVE CABLE FOR PLC LINK,,,,,,,,,,KMS-16,7,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-PCU-C1-1,CONTROL PANEL,POWER COOL UNIT,MTW 14 AWG x 5 W,RD,1340 (RO),SPPCU 01,SPPCU 02,SPPCU 03,SPPCU 04,,,,,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-PCU-C1-2,CONTROL PANEL,POWER COOL UNIT,MTW 14 AWG × 1 W,WH,1341 (SO),,,,,,,,,,KMS-22,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-PCU-C1-3,CONTROL PANEL,POWER COOL UNIT,MTW 12 AWG × 1 W,G,,,,,,,,,,,Φ,4.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-PCU-C2-1,CONTROL PANEL,POWER COOL UNIT,MTW 14 AWG x 5 W,BU,P24 (P24DN),SPPCU 05,SPPCU 06,SPPCU 07,SPPCU 08,,,,,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-PCU-C2-2,CONTROL PANEL,POWER COOL UNIT,MTW 14 AWG×2 W,B/W,N24 (N24DN),SPPCU 09,,,,,,,,,KMS-28,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-PCU-C2-3,CONTROL PANEL,POWER COOL UNIT,MTW 16 AWG×6 W,OR,11502 (X21),11503 (OV),SPPCU 10,SPPCU 11,SPPCU 12,SPPCU 13,,,,,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-PCU-C2-4,CONTROL PANEL,POWER COOL UNIT,DCA1-5C10 x1 W,,EXCLUSIVE CABLE FOR DeviceNet,,,,,,,,,,,7,Wires are only for entry. 10m excess length at both ends.
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C1-1,CONTROL PANEL,OPERATION PANEL,MTW 14 AWG×2 W,BK,$1502 (YE),T1502 (WH),,,,,,,,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C1-2,CONTROL PANEL,OPERATION PANEL,MTW 14 AWG x 4 W,RED,1112,1650,SP OP-1,SP OP-2,,,,,,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C1-3,CONTROL PANEL,OPERATION PANEL,MTW 14 AWG x 4 W,WHT,1171,1651,SP OP-3,SP OP-4,,,,,,,KMS-36 Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C1-4,CONTROL PANEL,OPERATION PANEL,MTW 16 AWG x 8 W,RED,1179,1211,SP OP-5,SP OP-6,SP OP-7,SP OP-8,SP OP-9,SP OP-10,,,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C1-5,CONTROL PANEL,OPERATION PANEL,MTW 12 AWG × 1 W,G/Y,,,,,,,,,,,Φ,4.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-OP-C2-1,CONTROL PANEL,OPERATION PANEL,MTW 14 AWG × 19 W,BU,P24,P24,PC24,PC24,P242,P242,POP24,POP24,PC241,PC241,Φ,3.7,
