Location,Symbol Text,Description,Part Number,Quantity,Manufacturer,Notes,Number,Drawing Number,Equipment,Order Number
 POWER PANEL,MCB131,CIRCUIT BREAKER,"60215 (Multi9 C60 UL489) 1P, AC30A, C CURVE",1,FUJI,UL489 10kA,36,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB131,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB141,CIRCUIT BREAKER,"60213 (Multi9 C60 UL489) 1P, AC20A, C CURVE",1,FUJI,UL489 10kA,37,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB141,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB152,CIRCUIT BREAKER,"60213 (Multi9 C60 UL489) 1P, AC20A, C CURVE",1,FUJI,UL489 10kA,38,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB152,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB161,CIRCUIT BREAKER,"60212 (Multi9 C60 UL489) 1P, AC15A, C CURVE",1,FUJI,UL489 10kA,39,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB161,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB162,CIRCUIT BREAKER,"60206 (Multi9 C60 UL489) 1P, AC5A, C CURVE",1,FUJI,UL489 10kA,40,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB162,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP70,CIRCUIT PROTECTOR,"60252 (Multi9 C60 UL489) 2P, AC1A, D CURVE",1,FUJI,UL489 10kA,41,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP71,CIRCUIT PROTECTOR,"60252 (Multi9 C60 UL489) 2P, AC1A, D CURVE",1,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP80,CIRCUIT PROTECTOR,"60252 (Multi9 C60 UL489) 2P, AC1A, D CURVE",1,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP70,COVER,ULM9T-COV,6-Dec,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP110,CIRCUIT PROTECTOR,"60210 (Multi9 C60 UL489) 1P, AC10A, C CURVE",1,FUJI,UL489 10kA,42,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP110,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP111,CIRCUIT PROTECTOR,"60206 (Multi9 C60 UL489) 1P, AC5A, C CURVE",1,FUJI,UL489 10kA,43,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP111,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP132,CIRCUIT PROTECTOR,"60212 (Multi9 C60 UL489) 1P, AC15A, C CURVE",1,FUJI,UL489 10kA,44,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP132,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP139,"CIRCUIT PROTECTOR 1P, AC5A, C CURVE",60206 (Multi9 C60 UL489),1,FUJI,UL489 10kA,45,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP139,AUX. SWITCH,26925,2,FUJI,UL489 10kA,45,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP139,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,45,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP13A,"CIRCUIT PROTECTOR 1P, AC10A, C CURVE",60210 (Multi9 C60 UL489),1,FUJI,UL489 10kA,46,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP13B,"CIRCUIT PROTECTOR 1P, AC10A, C CURVE",60210 (Multi9 C60 UL489),1,FUJI,UL489 10kA,46,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP13A,AUX. SWITCH,26925,1,FUJI,UL489 10kA,46,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP13B,AUX. SWITCH,26925,1,FUJI,UL489 10kA,46,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP13A,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,46,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP13B,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,46,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP133,"CIRCUIT PROTECTOR 1P, AC10A, C CURVE",60210 (Multi9 C60 UL489),1,FUJI,UL489 10kA,47,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP141,"CIRCUIT PROTECTOR 1P, AC10A, C CURVE",60210 (Multi9 C60 UL489),1,FUJI,UL489 10kA,47,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP133,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,47,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP141,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,47,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP134,"CIRCUIT PROTECTOR 1P, AC5A, C CURVE",60206 (Multi9 C60 UL489),1,FUJI,UL489 10kA,48,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP134,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,48,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP135,"CIRCUIT PROTECTOR 1P, AC7A, C CURVE",60208 (Multi9 C60 UL489),1,FUJI,UL489 10kA,49,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP142,"CIRCUIT PROTECTOR 1P, AC7A, C CURVE",60208 (Multi9 C60 UL489),1,FUJI,UL489 10kA,49,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP135,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,49,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP142,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,49,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP136,"CIRCUIT PROTECTOR 1P, DC3A, C CURVE",60204 (Multi9 C60 UL489),1,FUJI,UL489 10kA,50,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP137,"CIRCUIT PROTECTOR 1P, DC3A, C CURVE",60204 (Multi9 C60 UL489),1,FUJI,UL489 10kA,50,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP138,"CIRCUIT PROTECTOR 1P, DC3A, C CURVE",60204 (Multi9 C60 UL489),1,FUJI,UL489 10kA,50,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP136,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,50,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP137,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,50,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,CP138,COVER,ULM9T-COV,6-Feb,FUJI,UL489 10kA,50,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
