Loc.,Item #,Manuf. ,Part #,Description,Qty.,1ST CHECK,2ND CHECK,NOTES,WORK ORDER,Cost,Total Value,Cost New,,
1R-A30A,S002145,FANUC,A06B-6102-H226,AMPLIFIER,2,,,,,972.00,"$1,944.00","$6,351.00",,
1R-A30B,S009518,FANUC,A06B-6102-H230,AMPLIFIER,1,,,,,"2,979.00","$2,979.00","$8,719.00",,
1R-A30C,,FANUC,A06B-6240-H209,AMP,1,,,,135114,"1,492.00","$1,492.00","$8,523.00",,
1R-A30C,S013603,FANUC,A06B-6240-H209,AMP,0,,,,125101,"1,125.00",$0.00,"$8,523.00",,
1R-A31A,,FANUC,A06B-6200-H011,AMP,1,,,,133394,"1,948.00","$1,948.00",,,
1R-A31B,,FANUC,A06B-6240-H105,AMP,1,,,,,,,,,
1R-A31C,?,FANUC,A06B-6064-C303,AMPLIFIER,1,,,,,980.00,$980.00,"$4,500.00",,
1R-A32A,S011308,FANUC,A06B-6110-H011,AMPLIFIER,1,,,,,"1,400.00","$1,400.00","$3,785.00",,
1R-A32A,S011308,FANUC,A06B-6110-H011,AMPLIFIER,1,,,,126513,"1,468.00","$1,468.00","$3,785.00",,
1R-A32B,S011301,FANUC,A06B-6110-H015,AMPLIFIER,2,,,,,"1,700.00","$3,400.00","$4,520.00",,
1R-A32C,S010426,FANUC,A06B-6111-H006,AMPLIFIER,1,,,,,"1,025.00","$1,025.00","$4,989.00",,
1R-A33A,S010438,FANUC,A06B-6111-H011,AMPLIFIER,4,,,,,"2,000.00","$8,000.00","$4,729.00",,
1R-A33B,,OMRON,NS15-TX01B-V2,INTERACTIVE DISPLAY,1,,,,,"3,450.00","$3,450.00",,,
1R-A33C,S011310,FANUC,A06B-6114-H105,AMPLIFIER,1,,,,127546,"1,396.00","$1,396.00","$3,089.00",,
1R-A34A,S010427,FANUC,A06B-6114-H205,AMPLIFIER,1,,,,,975.00,$975.00,"$2,712.00",,
1R-A34B,S010424,FANUC ,A06B-6114-H209,AMPLIFIER,3,,,,,"1,621.00","$4,863.00","$3,182.00",,
1R-A34C,S010431,FANUC,A06B-6114-H303,AMPLIFIER,4,,,,,"1,400.00","$5,600.00","$4,494.00",,
1R-A34C,S010431,FANUC,A06B-6114-H303,AMP,1,,,,126512,"1,794.00",1794,"$4,494.00",,
1R-A35A,S010430,FANUC,A06B-6114-H304,AMPLIFIER,2,,,,,"1,350.00","$2,700.00","$4,751.00",,
1R-A35B,,FANUC,A06B-6200-H026,AMP,1,,,,137572,"2,341.00",2341,,,
1R-A35B,,FANUC,A06B-6220-H206,AMPLIFIER,1,,,,,"1,486.00","$1,486.00",$0.00,,
1R-A35C,S010430,FANUC ,A06B-6117-H304,AMPLIFIER,1,,,,,"1,425.00","$1,425.00","$4,751.00",,
1R-A35D,S010422,FANUC ,A06B-6124-H105,AMPLIFIER,1,,,,,"1,571.00","$1,571.00","$3,605.00",,
1R-A36A,?,FANUC,A06B-6076-H104,AMPLIFIER,2,,,,,"3,475.00","$6,950.00","$3,875.00",,
1R-A36B,,MITSUBISHI,GT2712-STBA,OPERATION TERMINAL,1,,,,,1.00,1,,,
1R-A37A,S002134,FANUC,A06B-6093-H102,AMPLIFIER,0,,,,,654.00,$0.00,"$2,402.30",,
1R-A37A,S002134,FANUC,A06B-6093-H102,AMPLIFIER,1,,,,133914,793.00,$793.00,"$1,516.00",,
1R-A37A,S002134,FANUC,A06B-6093-H102,AMP,2,,,,133913,793.00,1586,"$1,516.00",,
1R-A37B,S008210,FANUC,A06B-6093-H112,AMPLIFIER,0,,,,,800.00,$0.00,"$1,516.00",,
1R-A37B,S008210,FANUC,A06B-6093-H112,AMPLIFIER,0,,,,127865,830.00,$0.00,"$1,516.00",,
1R-A37B,S008210,FANUC,A06B-6093-H112,AMP,5,,,,,830.00,4150,"$1,516.00",,
1R-A37C,,FANUC,A06B-0212-B675,MOTOR,1,,,,,1.00,$1.00 ,,,
1R-A38A,?,FANUC,A02B-0166-B501,AMPLIFIER,2,,,,,"1,050.00","$2,100.00",,,
1R-A38B,S010417,FANUC,A16B-2203-0881,AMPLIFIER,3,,,,,675.00,"$2,025.00",$682.00,,
1R-A38C,,FANUC,A16B-2203-0370,BOARD,1,,,,,,,,,
1R-A39A,S002125,FANUC,A06B-6058-H223,AMPLIFIER,1,,,,,"1,002.00","$1,002.00","$4,477.00",,
1R-A39B,,VIGOSERVO,ARS15-06,AMPLIFIER,4,,,,,"1,075.00","$4,300.00","$2,827.00",,
1R-A39C,S015426,VIGOSERVO,ARN15-A,AMPLIFIER,2,,,,,"1,215.00","$2,430.00","$2,827.00",,
1R-A40A,S004836,FANUC,A06B-6058-H005,AMPLIFIER,3,,,,,750.00,"$2,250.00","$2,996.00",,
1R-A40B,,FANUC,A06B-6058-H004,AMPLIFIER,3,,,,,"1,750.00","$5,250.00","$3,483.00",,
1R-A41A,,YASKAWA,SGDR-C0A040A01B,CONVERTER,1,,,,,1.00,$1.00 ,,,
1R-A41B,,FANUC,J4-J5 WRIST,WRIST,1,,,,,"1,630.00","$1,630.00","$4,171.80",,
1R-A41C,,FANUC,A05B-2400-C060,2 SLOT BACKPLANE,1,,,,129242,295.00,$295.00,,,
1R-A42A,S004850,FANUC,A06B-6093-H151,AMPLIFIER,10,,,,,734.00,"$7,340.00","$1,898.00",,
1R-A42B,?,FANUC,A06B-6114-H103,AMPLIFIER,1,,,,,"1,065.00","$1,065.00","$3,192.00",,
1R-A43A,?,FANUC,A02B-0198-B501,AMPLIFIER,1,,,,,925.00,$925.00,,,
1R-A43B,?,FANUC,A02B-0198-B531,AMPLIFIER,1,,,,,575.00,$575.00,,,
1R-A43C,S002061,FANUC ,A06B-6059-H206,AMPLIFIER,1,,,,,"1,250.00","$1,250.00","$6,864.00",,
1R-A44A,S004837,FANUC,A06B-6058-H006,AMPLIFIER,1,,,,,"1,175.00","$1,175.00","$3,202.00",,
1R-A44B,,FANUC,A05B-2490-C375,TEACH PENDANT,1,,,,,"1,430.75","$1,430.75",,,
1R-A44C,,FANUC,A06B-6117-H303,AMP,1,,,,136711,"1,937.00","$1,937.00","$4,494.00",,
1R-A45A,S015050,FANUC,A06B-6400-H102,AMPLIFIER,1,,,,,"3,796.00","$3,796.00","$12,706.00",,
1R-A45A,S015050,FANUC,A06B-6400-H102,AMPLIFIER,1,,,,,"3,192.00","$3,192.00","$12,706.00",,
1R-A45A,S015050,FANUC ,A06B-6400-H102,AMPLIFIER,3,,,,,"3,102.00","$9,306.00","$12,706.00",,
1R-A45A,S015050,FANUC,A06B-6400-H102,AMPLIFIER,0,,,,130758,"8,571.43",$0.00,"$12,706.00",,
1R-A45B,,FAR EAST MACHINE,FEM-1CP,CONTROL UNIT,1,,,,,0.00,$0.00 ,,,
1R-A46A,S011073,FANUC ,A06B-6100-H003,AMPLIFIER,5,,,,,"3,950.00",19750,"$16,973.00",,
1R-A46B,,FUJI,FRN3.7G11S-2,DRIVE,1,,,,126138,648.00,648,,,
1R-A47A,,FANUC,A05B-2490-C175,TEACH PENDANT,1,,,,,"1,584.00",1584,"$5,795.20",,
1R-A47B,S005765,FANUC,A05B-2301-C195,TEACH PENDANT,2,,,,,"1,674.00",3348,"$8,130.00",,
1R-A47B,S005765,FANUC,A05B-2301-C195,TEACH PENDANT,1,,,,133413,"1,664.00",1664,"$8,130.00",,
1R-A47C,S007176,FANUC,A05B-2490-C171,TEACH PENDANT,1,,,,,"1,275.00",1275,"$10,549.00",,
1R-A48A,?,FANUC,A05B-2255-C100,TEACH PENDANT,1,,,,,1.00,$1.00 ,"$6,027.00",,
1R-A48B,,FANUC,A05B-2490-C371,TEACH PENDANT,3,,,,,"1,375.00",4125,"$5,795.20",,
1R-A48C,,FANUC,A05B-2518-C306#EGN,TEACH PENDANT,1,,,,,"1,375.00",1375,"$8,129.40",,
1R-A49A,S005765,FANUC,A05B-2301-C375,TEACH PENDANT,2,,,,123616,"1,583.00",3166,"$8,130.00",,
1R-A49A,S005765,FANUC,A05B-2301-C375,TEACH PENDANT,1,,,,128546,"1,652.00",1652,"$8,130.00",,
1R-A49A,S005765,FANUC,A05B-2301-C375,TEACH PENDANT,1,,,,,"1,600.00",1600,"$8,130.00",,
1R-A49A,S005765,FANUC,A05B-2301-C375,TEACH PENDANT,0,,,,129230,"1,643.00",0,"$8,130.00",,
1R-A49A,S005765,FANUC,A05B-2301-C375,TEACH PENDANT,3,,,,,"1,375.00",4125,"$8,130.00",,
