Item,Item Description,Item Status,Quantity,Subinventory,UOM,Location,Lot Number,Organization
S011778,NORTH AMERICAN MOTOR[NA-F56C1S4C-00]SE01 BOX WASHER DUNNAGE WASHER,Active,1,STOCK CAGE,EA,1ZK016D,160.59,AAC Plant 1
S011779,OMRON BATTERY [CJ1W-BAT01] MA91,Active,5,STOCK CAGE,EA,TCG-D05D,32.16,AAC Plant 1
S011780,FANUC M16iB J5 CROSS ROLLER BEARING [ A97L-0218-0508 ]J5 AXIS ON M710IC & M16iB,Active,4,STOCK CAGE,EA,1K007C,351,AAC Plant 1
S011781,RETRACTABLE COILED CABLE [7088K83]  DC91,Active,2,STOCK CAGE,EA,1A047C,72.4,AAC Plant 1
S011782,"WELD-MOUNT CLAMP 1/2"" OD TUBE[ 3015T23 ]DC06 DCL9014 DCL9020 DCL9021 CACUUM LINE HYDRAULIC TUBE CLAMP",Active,5,STOCK CAGE,EA,1J035G-3,2.47,AAC Plant 1
S011783,"WELD MOUNT CLAMP 5/8"" OD TUBE[ 3015T24 ]VACUUM LINE HYDRAULIC TUBE CLAMP[3015T24]DC06 DCL9014 DCL9020 DCL9021 VACUUM LINE HYDRAULIC TUBE CLAMP",Active,5,STOCK CAGE,EA,1J035C,2.51,AAC Plant 1
S011784,FUJI ELECTRONICS SHUT OFF VALVE [CA02-R1-W-L] SAME AS [WR-22B-04]  DC04 DCL-3016,Active,2,STOCK CAGE,EA,2V062B,437.1,AAC Plant 2
S011785,FLOW METER W/TRANSDUCER 2 PIECES = 1SET[MI-170-02-D2-N]MA13 M200RC,Active,15,STOCK CAGE,EA,1C015A,3002,AAC Plant 1
S011785,FLOW METER W/TRANSDUCER 2 PIECES = 1SET[MI-170-02-D2-N]MA13 M200RC,Inactive,0,,,,3002,AAC Plant 2
S011786,THREE BOND CVA4 VALVE [THREE BOND CVA4 VALVE] [CQ2WB16-10D] AS15 787 WPC ASSEMBLY,Active,3,STOCK CAGE,EA,1N034H,2175,AAC Plant 1
S011787,DRIVE CYLINDER  SMC # NCDME075-0400C   same as  [010502-D-07.1] (NCDME075-0400C)AS14 ZML4014 750F LINE ASSEMBLY,Active,4,STOCK CAGE,EA,1G042G,22.43,AAC Plant 1
S011788,BOLT[010502-D-07.2]AS14 ZML4014 750F LINE ASSEMBLY,Active,3,STOCK CAGE,EA,1K043E,3.75,AAC Plant 1
S011789,BOBBIN ASSEMBLY[010502-D-13]AS14 ZML4014 750F LINE ASSEMBLY,Active,2,STOCK CAGE,EA,1K043F,437.5,AAC Plant 1
S011790,NOSE PIECE MOUNT[010502-D-14]AS14 ZML4014 750F LINE ASSEMBLY,Active,2,STOCK CAGE,EA,1K043G,406.25,AAC Plant 1
S011791,DRIVER BRACKET[010502-D-20.1]AS14 ZML4014 750F LINE ASSEMBLY,Active,2,STOCK CAGE,EA,1K043H,1093.75,AAC Plant 1
S011792,NOSE PIECE ADAPTER[010502-D-44]AS14 ZML4014 750F LINE ASSEMBLY,Active,2,STOCK CAGE,EA,1K044H,343.75,AAC Plant 1
S011793,TARGET[010502-D-133]AS14 ZML4014 750F LINE ASSEMBLY,Active,2,STOCK CAGE,EA,1K045A,58.25,AAC Plant 1
S011794,CONNECTOR ASSY[010502-D-134]AS14 ZML4014 750F LINE ASSEMBLY,Active,2,STOCK CAGE,EA,1K042H,1687.5,AAC Plant 1
