epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,63.3062,2.23297,3.01569,0.00187,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.0001783,0.0001783,0.0001783
85,63.8454,2.04837,3.03185,0.00176,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.0001684,0.0001684,0.0001684
86,64.3836,1.9922,3.04225,0.00191,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.0001585,0.0001585,0.0001585
87,64.9207,1.93469,3.0785,0.00159,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.0001486,0.0001486,0.0001486
88,65.5322,2.06425,3.06282,0.00164,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.0001387,0.0001387,0.0001387
89,66.0555,1.98567,3.04495,0.0017,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.0001288,0.0001288,0.0001288
90,66.5918,2.11767,3.16119,0.00193,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.0001189,0.0001189,0.0001189
91,67.743,1.96119,3.0285,0.00189,0.40563,0.17219,0.19091,0.12969,1.8329,2.40178,0.00266,0.000109,0.000109,0.000109
92,68.2978,1.74195,2.93248,0.00186,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,9.91e-05,9.91e-05,9.91e-05
93,68.8645,1.98656,2.978,0.00185,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,8.92e-05,8.92e-05,8.92e-05
94,69.4375,2.70573,3.29847,0.00208,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,7.93e-05,7.93e-05,7.93e-05
95,69.9786,2.00858,3.07061,0.00164,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,6.94e-05,6.94e-05,6.94e-05
96,70.5261,2.02887,2.99228,0.00181,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,5.95e-05,5.95e-05,5.95e-05
97,71.0635,2.10734,2.99982,0.00175,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,4.96e-05,4.96e-05,4.96e-05
98,71.6074,1.92435,2.97776,0.00177,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,3.97e-05,3.97e-05,3.97e-05
99,72.2829,1.98218,2.98388,0.00174,0.39828,0.1881,0.19225,0.13118,1.83519,2.37355,0.0027,2.98e-05,2.98e-05,2.98e-05
100,72.8447,2.1318,3.03814,0.00206,0.39894,0.19004,0.19157,0.13168,1.88353,2.32496,0.00267,1.99e-05,1.99e-05,1.99e-05
